Det Name	LaBrPos	LaBrSigma	NaIPos	NaISigma	theta	sin	cos	tan
PARIS50	0.754893	0.00419731	0.349438	0.0108644	0.265605	0.262494	0.964934	0.272033
PARIS70	0.751992	0.00341865	0.332367	0.00668987	0.206026	0.204572	0.978852	0.208992
PARIS90	0.759139	0.00484545	0.338929	0.00954013	0.179693	0.178727	0.983899	0.181652
PARIS110	0.75325	0.00332933	0.341825	0.00888025	0.260727	0.257783	0.966203	0.2668
PARIS130	0.744739	0.00429833	0.326125	0.00874644	0.233428	0.231314	0.972879	0.237762
PARIS235	0.752173	0.00347713	0.340104	0.00752307	0.33586	0.329581	0.944127	0.349086
PARIS262	0.752193	0.00451858	0.339022	0.00799196	0.171168	0.170334	0.985386	0.17286
PARIS278	0.749863	0.00357424	0.331107	0.00854205	0.190467	0.189317	0.981916	0.192804
PARIS305	0.756035	0.00356803	0.341019	0.00758795	0.372085	0.363559	0.931571	0.390264
