Detector_Name 	 dx3 	 cx2 	 ax 	 b
PARIS_BR2D12	0	1.3162e-10	0.0166144	20.4512
PARIS_BR2D12	0	0	1	0
PARIS_BR2D13	0	3.32166e-10	0.0167475	-0.147592
PARIS_BR2D13	0	0	1	0
PARIS_BR2D14	0	1.76895e-09	0.0158541	4.982
PARIS_BR2D14	0	0	1	0
PARIS_BR2D15	0	1.52828e-08	0.0120946	16.7621
PARIS_BR2D15	0	0	1	0
PARIS_BR2D16	0	5.34812e-10	0.0167124	5.86866
PARIS_BR2D16	0	0	1	0
PARIS_BR3D1	0	2.04206e-09	0.0159182	14.6143
PARIS_BR3D1	0	0	1	0
PARIS_BR3D2	0	3.31525e-09	0.015821	8.22855
PARIS_BR3D2	0	0	1	0
PARIS_BR3D3	0	1.02684e-09	0.0184942	4.58504
PARIS_BR3D3	0	0	1	0
PARIS_BR3D4	0	1.83959e-09	0.0155006	20.7564
PARIS_BR3D4	0	0	1	0
PARIS_BR3D5	0	6.05816e-12	0.0159251	2.12015
PARIS_BR3D5	0	0	1	0
PARIS_BR3D6	0	-5.08174e-09	0.0194278	-41.1796
PARIS_BR3D6	0	0	1	0
PARIS_BR3D7	0	1.70207e-09	0.0155702	6.44033
PARIS_BR3D7	0	0	1	0
PARIS_BR3D8	0	-2.81678e-09	0.0175186	-3.99645
PARIS_BR3D8	0	0	1	0
PARIS_BR3D9	0	-4.46616e-10	0.0159083	4.14619
PARIS_BR3D9	0	0	1	0
PARIS_BR3D10	0	2.47323e-09	0.0152845	25.8632
PARIS_BR3D10	0	0	1	0
PARIS_BR3D11	0	3.71666e-10	0.0154547	14.2429
PARIS_BR3D11	0	0	1	0
PARIS_BR3D12	0	2.54349e-09	0.0159005	15.2643
PARIS_BR3D12	0	0	1	0
PARIS_FR1D1	0	6.69409e-09	0.0134448	148.753
PARIS_FR1D1	0	0	1	0
PARIS_FR1D2	0	5.52304e-10	0.0172191	-17.1222
PARIS_FR1D2	0	0	1	0
PARIS_FR1D3	0	3.50416e-09	0.0157714	47.092
PARIS_FR1D3	0	0	1	0
PARIS_FR1D4	0	-2.3837e-10	0.016102	0.369326
PARIS_FR1D4	0	0	1	0
PARIS_FR1D5	0	2.92669e-10	0.017368	-3.4477
PARIS_FR1D5	0	0	1	0
PARIS_FR1D6	0	7.91596e-10	0.0157479	25.923
PARIS_FR1D6	0	0	1	0
PARIS_FR1D7	0	1.81444e-09	0.0153271	74.4774
PARIS_FR1D7	0	0	1	0
PARIS_FR1D8	0	4.02295e-10	0.0163592	-4.30983
PARIS_FR1D8	0	0	1	0
PARIS_FR2D1	0	7.72866e-10	0.0162035	35.3845
PARIS_FR2D1	0	0	1	0
PARIS_FR2D2	0	4.34252e-10	0.016256	-1.24042
PARIS_FR2D2	0	0	1	0
PARIS_FR2D3	0	-5.84964e-10	0.0163591	-25.6933
PARIS_FR2D3	0	0	1	0
PARIS_FR2D4	0	-3.00239e-10	0.0154469	4.8112
PARIS_FR2D4	0	0	1	0
PARIS_FR2D5	0	-3.63566e-12	0.0164812	9.38398
PARIS_FR2D5	0	0	1	0
PARIS_FR2D6	0	-2.9106e-10	0.0159783	21.1055
PARIS_FR2D6	0	0	1	0
PARIS_FR2D7	0	-2.15768e-10	0.0171129	-9.12361
PARIS_FR2D7	0	0	1	0
PARIS_FR2D8	0	-6.66005e-10	0.0157999	0.942256
PARIS_FR2D8	0	0	1	0
PARIS_FR2D9	0	-1.971e-10	0.0179806	-32.9595
PARIS_FR2D9	0	0	1	0
PARIS_FR2D10	0	2.34813e-10	0.0159186	37.7521
PARIS_FR2D10	0	0	1	0
PARIS_FR2D11	0	4.27052e-09	0.0149759	58.6485
PARIS_FR2D11	0	0	1	0
PARIS_FR2D12	0	5.89367e-10	0.0159464	5.0825
PARIS_FR2D12	0	0	1	0
PARIS_FR2D13	0	4.34936e-11	0.0168298	-1.66283
PARIS_FR2D13	0	0	1	0
PARIS_FR2D14	0	4.1851e-10	0.0160716	16.8492
PARIS_FR2D14	0	0	1	0
PARIS_FR2D15	0	-5.82223e-10	0.0154467	-6.47405
PARIS_FR2D15	0	0	1	0
PARIS_FR2D16	0	5.18225e-10	0.0170847	-6.1291
PARIS_FR2D16	0	0	1	0
PARIS_FR3D1	0	4.69302e-10	0.0161996	4.65758
PARIS_FR3D1	0	0	1	0
PARIS_FR3D2	0	2.13046e-09	0.015605	24.0169
PARIS_FR3D2	0	0	1	0
PARIS_FR3D3	0	1.68438e-10	0.0163727	7.63119
PARIS_FR3D3	0	0	1	0
