Det Name 	 LaBrPos 	 LaBrSigma 	 NaIPos 	 NaISigma 	 theta
PARIS50	0.754473	0.0169763	0.342139	0.0169763	-nan
PARIS70	0.753491	0.0145909	0.330358	0.0145909	-nan
PARIS90	0.759382	0.0186763	0.334285	0.0186763	-nan
PARIS110	0.753491	0.0154419	0.336249	0.0154419	-nan
PARIS130	0.747601	0.0158231	0.328395	0.0158231	-nan
PARIS235	0.334285	0.0508566	0.274398	0.0508566	-nan
PARIS262	0.75251	0.0183366	0.333303	0.0183366	-nan
PARIS278	0.749564	0.0142898	0.325449	0.0142898	-nan
PARIS305	0.755455	0.0146832	0.334285	0.0146832	-nan
