Det Name 	 LaBrPos 	 LaBrSigma 	 NaIPos 	 NaISigma 	 theta
PARIS50	0.755455	0.0103047	0.349993	0.0103047	0
PARIS70	0.75251	0.00810508	0.336249	0.00810508	0
PARIS90	0.759382	0.0126902	0.339194	0.0126902	0
PARIS110	0.753491	0.00896351	0.342139	0.00896351	0
PARIS130	0.744656	0.00988779	0.327413	0.00988779	0
PARIS235	0.75251	0.00813709	0.341157	0.00813709	0
PARIS262	0.75251	0.013245	0.340176	0.013245	0
PARIS278	0.749564	0.00759112	0.332322	0.00759112	0
PARIS305	0.755455	0.00799796	0.343121	0.00799796	0
