Det Name 	 LaBrPos 	 LaBrSigma 	 NaIPos 	 NaISigma 	 theta
PARIS50	0.755455	0.041235	0.34803	0.041235	-nan
PARIS70	0.75251	0.0277933	0.333303	0.0277933	-nan
PARIS90	0.725021	0.230388	0.339194	0.230279	-nan
PARIS110	0.753491	0.0278894	0.342139	0.0278894	-nan
PARIS130	0.745637	0.0275564	0.328395	0.0275564	-nan
PARIS235	0.75251	0.039128	0.340176	0.039128	-nan
PARIS262	0.75251	0.0489519	0.339194	0.0489519	-nan
PARIS278	0.749564	0.0439803	0.332322	0.0439803	-nan
PARIS305	0.755455	0.0434819	0.341157	0.0434819	-nan
