Det Name	LaBrPos	LaBrSigma	NaIPos	NaISigma	theta	sin	cos	tan
PARIS_FR2D15	0.166875	0.0134455	0.701875	0.0134455	0.0892331	0.0891147	0.996021	0.0894707
PARIS_FR2D16	0.026875	0.209693	0.626875	0.0154737	0.0936732	0.0935363	0.995616	0.0939482
PARIS_FR3D1	0.033125	0.0254237	0.630625	0.0254237	0.15379	0.153185	0.988198	0.155014
PARIS_FR3D2	0.011875	0.0164201	0.630625	0.0164201	0.140125	0.139667	0.990198	0.14105
PARIS_FR3D3	0.011875	0.017507	0.631875	0.017507	0.14399	0.143493	0.989651	0.144994
PARIS_FR3D4	0.009375	0.0183356	0.624375	0.0183356	0.114109	0.113861	0.993497	0.114607
PARIS_FR3D5	0.003125	0.0298155	0.621875	0.0298155	0.163791	0.163059	0.986616	0.165271
PARIS_FR3D6	0.021875	0.0187004	0.638125	0.0187004	0.141976	0.141499	0.989938	0.142937
PARIS_FR3D7	0.119375	0.15601	0.484375	0.15601	0.136009	0.13559	0.990765	-0.136854
PARIS_FR3D8	0.034375	0.0161288	0.649375	0.0161288	0.0685886	0.0685348	0.997649	0.0686964
PARIS_FR3D9	0.015625	0.0328834	0.629375	0.0328834	0.152699	0.152106	0.988364	0.153897
PARIS_FR3D10	0.011875	0.0171642	0.621875	0.0171642	0.0872387	0.0871281	0.996197	0.0874607
PARIS_FR3D11	0.018125	0.0185307	0.611875	0.0185307	0	0	1	-0
