ADC 109 -0.315358 0.0207395 0 0
ADC 110 -0.0171781 0.021142 0 0
ADC 111 -0.248468 0.0196482 0 0
ADC  112  54 0.058 0 0
ADC 113 19 0.063 0 0
ADC 114 0.0634218 0.0206177 0 0
ADC 115 -0.151674 0.0207587 0 0
ADC 116 -0.381574 0.0203325 0 0
ADC 117 -0.0414671 0.0207685 0 0
ADC  118 27 0.057 0 0
ADC 119 12 0.057 0 0
ADC 120 -0.553084 0.0220349 0 0
ADC 121 -0.210922 0.0215958 0 0
ADC 122 -0.101098 0.0218077 0 0
ADC 123 -0.067272 0.0219566 0 0
ADC 124 7 0.061 0 0
ADC 125 7 0.063 0 0
ADC 126 -0.22101 0.0217438 0 0
ADC  127  0 0 0 0
ADC 128 -0.600862 0.0410748 0 0
ADC 129 0.230242 0.0170051 0 0
ADC 130 17 0.057 0 0
ADC  131 12 0.058 0 0
ADC 132 -0.282856 0.025604 0 0
ADC 133 -0.25478 0.0249783 0 0
ADC 134 -0.212368 0.0230027 0 0
ADC 135 -0.31908 0.0227309 0 0
ADC 136 24 0.057 0 0
ADC 137 11 0.058 0 0
ADC 138 -0.433723 0.0210974 0 0
ADC 139 0.116058 0.020429 0 0
ADC 140 0.070079 0.0210821 0 0
ADC 141 0.364431 0.0206044 0 0
ADC  142 29 0.058 0 0
ADC  143 29 0.058 0 0
ADC 144 -0.0957013 0.0212367 0 0
ADC 145 -0.125043 0.0203153 0 0
ADC 146 0.106831 0.0222127 0 0
ADC 147 -0.285503 0.0215517 0 0
ADC 148 42 0.060 0 0
ADC 149 42 0.060 0 0
ADC 150 -0.0607279 0.0236966 0 0
ADC 151 -0.321726 0.0234499 0 0
ADC 152 0.01358 0.0226162 0 0
ADC 153 0.0150116 0.0178635 0 0
ADC 154 28 0.059 0 0
ADC 155 0 0.060 0 0
ADC 156 -1.64398 0.0340664 0 0
ADC 157 -0.107417 0.0207439 0 0
ADC 158 0.067076 0.0215761 0 0
ADC 159 0.0275886 0.0227532 0 0
ADC 160 29 0.064 0 0
ADC 161 24 0.064 0 0
ADC 162 -0.265589 0.0211048 0 0
ADC 163 -0.231233 0.0210506 0 0
ADC 164 0.0877569 0.0211773 0 0
ADC 165 -0.167378 0.021091 0 0
