# Spectre_numero    Detecteur       a_opt         b_opt  
1019           PARIS110       1.007715     0.000731     
1019           PARIS130       0.971191     0.000697     
1019           PARIS235       0.968555     0.000829     
1019           PARIS262       0.935651     -0.000049    
1019           PARIS278       0.979374     -0.000290    
1019           PARIS305       1.001929     -0.000076    
1020           PARIS50        0.993517     0.000357     
1020           PARIS70        0.989058     0.003719     
1020           PARIS90        0.982227     -0.000206    
1020           PARIS110       1.002803     0.000812     
1020           PARIS130       0.974719     0.000575     
1020           PARIS235       0.968152     0.000705     
1020           PARIS262       0.945554     0.000119     
1020           PARIS278       0.980755     -0.028121    
1020           PARIS305       0.995342     -0.221804    
1021           PARIS50        0.987183     0.000845     
1021           PARIS70        0.981792     -0.007861    
1021           PARIS90        0.977572     -0.894238    
1021           PARIS110       1.006055     0.000610     
1021           PARIS130       0.979263     0.000699     
1021           PARIS235       0.967920     0.000768     
1021           PARIS262       0.937402     0.000156     
1021           PARIS278       0.977287     -0.012643    
1021           PARIS305       1.000003     -0.524148    
1022           PARIS50        0.986804     0.000595     
1022           PARIS70        0.990643     0.000484     
1022           PARIS90        0.980664     0.000111     
1022           PARIS110       1.006512     1.767402     
1022           PARIS130       0.980676     0.000383     
1022           PARIS235       0.044976     32.660258    
1022           PARIS262       0.992512     -6.217468    
1022           PARIS278       0.983652     0.005383     
1022           PARIS305       0.997415     0.000643     
1023           PARIS50        0.991373     0.000597     
1023           PARIS70        0.992873     -0.000238    
1003           PARIS50        1.000000     0.388617     
1003           PARIS70        1.000000     0.469079     
1003           PARIS90        1.000000     0.332116     
1003           PARIS110       1.000000     0.628059     
1003           PARIS130       1.000000     0.466086     
1003           PARIS235       1.000000     11.508914    
1003           PARIS262       1.000000     0.122851     
1003           PARIS278       1.000000     0.278501     
1003           PARIS305       1.000000     0.308878     
1000           PARIS50        1.000000     0.560515     
1000           PARIS70        1.000000     0.694354     
1000           PARIS90        1.000000     0.493929     
1000           PARIS110       1.000000     0.653054     
1000           PARIS130       1.000000     0.445245     
1000           PARIS235       1.000000     0.508950     
1000           PARIS262       1.000000     0.249850     
1000           PARIS278       1.000000     0.498798     
1000           PARIS305       1.000000     0.428833     
1001           PARIS50        1.000000     0.641316     
1001           PARIS70        1.000000     0.746331     
1001           PARIS90        1.000000     0.436165     
1001           PARIS110       1.000000     0.686633     
1001           PARIS130       1.000000     0.391422     
1001           PARIS235       1.000000     0.484121     
1001           PARIS262       1.000000     0.074596     
1001           PARIS278       1.000000     0.366516     
1001           PARIS305       1.000000     0.403884     
1002           PARIS50        1.000000     0.524660     
1002           PARIS70        1.000000     0.604181     
1002           PARIS90        1.000000     0.365856     
1002           PARIS110       1.000000     0.627462     
1002           PARIS130       1.000000     0.432887     
1002           PARIS235       1.000000     0.465901     
1002           PARIS262       1.000000     0.099238     
1002           PARIS278       1.000000     0.369984     
1002           PARIS305       1.000000     0.409656     
1003           PARIS50        1.000000     0.521491     
1003           PARIS70        1.000000     0.506380     
1003           PARIS90        1.000000     0.408430     
1003           PARIS110       1.000000     0.737575     
1003           PARIS130       1.000000     0.496603     
1003           PARIS235       1.000000     0.591303     
1003           PARIS262       1.000000     0.103786     
1003           PARIS278       1.000000     0.395278     
1003           PARIS305       1.000000     0.406643     
1004           PARIS50        1.000000     0.484527     
1004           PARIS70        1.000000     0.466213     
1004           PARIS90        1.000000     0.297038     
1004           PARIS110       1.000000     0.671543     
1004           PARIS130       1.000000     0.439511     
1004           PARIS235       1.000000     0.615160     
1004           PARIS262       1.000000     0.039046     
1004           PARIS278       1.000000     0.371738     
1004           PARIS305       1.000000     0.421304     
1005           PARIS50        1.000000     0.460615     
1005           PARIS70        1.000000     0.488073     
1005           PARIS90        1.000000     0.414824     
1005           PARIS110       1.000000     0.672765     
1005           PARIS130       1.000000     0.458160     
1005           PARIS235       1.000000     0.601676     
1005           PARIS262       1.000000     0.080790     
1005           PARIS278       1.000000     0.392009     
1005           PARIS305       1.000000     0.440454     
1006           PARIS50        1.000000     0.485451     
1006           PARIS70        1.000000     0.470435     
1006           PARIS90        1.000000     0.375754     
1006           PARIS110       1.000000     0.631676     
1006           PARIS130       1.000000     0.505966     
1006           PARIS235       1.000000     0.605714     
1006           PARIS262       1.000000     0.032650     
1006           PARIS278       1.000000     0.331947     
1006           PARIS305       1.000000     0.409498     
1007           PARIS50        1.000000     0.428252     
1007           PARIS70        1.000000     0.468033     
1007           PARIS90        1.000000     0.364248     
1007           PARIS110       1.000000     0.657456     
1007           PARIS130       1.000000     0.554011     
1007           PARIS235       1.000000     0.593125     
1007           PARIS262       1.000000     0.000430     
1007           PARIS278       1.000000     0.390943     
